Datum;Bolag;Antal annonser;Antal tjanster;Nya annonser 30d;Nya tjanster 30d;Nya annonser 14d;Nya tjanster 14d;Nya annonser 7d;Nya tjanster 7d;Aktivitetstakt % (14d);% heltid;% tills vidare;% lang;% kort;% erfarenhet kravs;Top 3 regioner (totalt);Top 3 regioner (14 dagar);Top 3 yrkesomraden;Top 5 yrkesgrupper
2026-06-24;Jobandtalent;105;120;65;65;36;36;17;17;34.3;79.0;17.1;0.0;65.7;99.0;Östergötlands län (38) | Stockholms län (25) | Västra Götalands län (10);Stockholms län (9) | Östergötlands län (9) | Västra Götalands län (4);Transport, distribution, lager (49) | Industriell tillverkning (15) | Installation, drift, underhåll (12);Lastbilsförare m.fl. (34) | Lager- och terminalpersonal (10) | Truckförare (4) | Butikssäljare, dagligvaror (4) | Ingenjörer och tekniker inom industri, logistik och produktionsplanering (3)
2026-06-24;NearYou;69;108;59;86;41;62;22;31;59.4;88.4;46.4;0.0;43.5;100.0;Västra Götalands län (42) | Jönköpings län (9) | Kalmar län (8);Västra Götalands län (23) | Jönköpings län (7) | Hallands län (4);Industriell tillverkning (30) | Transport, distribution, lager (10) | Chefer och verksamhetsledare (5);Maskinställare och maskinoperatörer, metallarbete (12) | Truckförare (5) | Montörer, elektrisk och elektronisk utrustning (5) | Maskinoperatörer, gummiindustri (4) | Mjukvaru- och systemutvecklare m.fl. (3)
2026-06-24;SJR;28;28;28;28;18;18;11;11;64.3;25.0;21.4;0.0;3.6;100.0;Stockholms län (20) | Skåne län (3) | Uppsala län (3);Stockholms län (13) | Uppsala län (3) | Skåne län (1);Administration, ekonomi, juridik (21) | Försäljning, inköp, marknadsföring (3) | Data/IT (2);Redovisningsekonomer (11) | Ekonomiassistenter m.fl. (5) | Löne- och personaladministratörer (2) | Inköpare och upphandlare (2) | Ekonomi- och finanschefer (2)
2026-06-24;Clockwork;56;76;54;74;39;52;27;35;69.6;78.6;50.0;0.0;41.1;100.0;Dalarnas län (16) | Stockholms län (10) | Västerbottens län (6);Stockholms län (10) | Dalarnas län (6) | Västerbottens län (5);Pedagogik (12) | Yrken med teknisk inriktning (8) | Administration, ekonomi, juridik (7);Truckförare (4) | Grovarbetare inom bygg och anläggning (3) | Inköpare och upphandlare (3) | Kundtjänstpersonal (3) | Speciallärare och specialpedagoger m.fl. (3)
2026-06-24;Logent;29;40;18;18;12;12;5;5;41.4;79.3;27.6;0.0;51.7;100.0;Skåne län (9) | Västra Götalands län (6) | Stockholms län (5);Skåne län (4) | Stockholms län (2) | Hallands län (2);Transport, distribution, lager (16) | Industriell tillverkning (5) | Data/IT (3);Lager- och terminalpersonal (11) | Övriga bil-, motorcykel- och cykelförare (3) | Systemförvaltare m.fl. (2) | Speditörer och transportmäklare (2) | Truckförare (2)
2026-06-24;Bemannia;42;42;39;39;32;32;16;16;76.2;50.0;4.8;0.0;45.2;100.0;Stockholms län (18) | Västra Götalands län (8) | Dalarnas län (7);Stockholms län (12) | Dalarnas län (7) | Västra Götalands län (6);Administration, ekonomi, juridik (18) | Pedagogik (9) | Chefer och verksamhetsledare (3);Personal- och HR-specialister (6) | Löne- och personaladministratörer (3) | Barnskötare (3) | Grundskollärare (3) | Ekonomi- och finanschefer (2)
2026-06-24;Framtiden i Sverige;118;118;97;97;35;35;14;14;29.7;100.0;100.0;0.0;0.0;100.0;Östergötlands län (23) | Stockholms län (21) | Jönköpings län (18);Jönköpings län (10) | Östergötlands län (8) | Västra Götalands län (5);Yrken med teknisk inriktning (47) | Data/IT (24) | Försäljning, inköp, marknadsföring (9);Ingenjörer och tekniker inom maskinteknik (15) | Ingenjörer och tekniker inom elektroteknik (8) | Mjukvaru- och systemutvecklare m.fl. (8) | Företagssäljare (7) | Civilingenjörsyrken inom maskinteknik (7)
2026-06-24;Professionals Nord;185;200;149;164;107;117;63;67;57.8;95.1;91.4;0.0;8.1;100.0;Norrbottens län (58) | Västra Götalands län (26) | Stockholms län (20);Norrbottens län (31) | Västra Götalands län (19) | Östergötlands län (12);Bygg och anläggning (39) | Installation, drift, underhåll (38) | Yrken med teknisk inriktning (32);Företagssäljare (14) | Civilingenjörsyrken inom maskinteknik (11) | VVS-montörer m.fl. (11) | Underhållsmekaniker och maskinreparatörer (10) | Elektronikreparatörer och kommunikationselektriker m.fl. (9)
2026-06-24;Bravura;141;141;84;84;38;38;8;8;27.0;90.1;73.0;0.0;17.0;100.0;Stockholms län (61) | Skåne län (25) | Västra Götalands län (15);Stockholms län (16) | Skåne län (9) | Västra Götalands län (4);Administration, ekonomi, juridik (28) | Försäljning, inköp, marknadsföring (23) | Data/IT (23);Kundtjänstpersonal (15) | Mjukvaru- och systemutvecklare m.fl. (14) | Företagssäljare (11) | Transportledare och transportsamordnare (10) | Civilingenjörsyrken inom logistik och produktionsplanering (7)
2026-06-24;Jurek;38;38;35;35;25;25;15;15;65.8;55.3;7.9;0.0;55.3;100.0;Stockholms län (16) | Östergötlands län (9) | Västra Götalands län (6);Stockholms län (11) | Östergötlands län (5) | Västra Götalands län (4);Administration, ekonomi, juridik (29) | Chefer och verksamhetsledare (4) | Försäljning, inköp, marknadsföring (3);Personal- och HR-specialister (7) | Övriga kontorsassistenter och sekreterare (5) | Ekonomiassistenter m.fl. (4) | Redovisningsekonomer (3) | Inköpare och upphandlare (3)
